transaction_id,customer_id,account_id,merchant_id,date_id,amount,transaction_type,payment_mode,status,fee_amount,discount_amount,net_amount
1,98,188,276,621,1888,Credit,UPI,Success,11,191,1686
2,204,257,156,919,9456,Debit,UPI,Success,26,91,9339
3,27,239,225,426,3824,Debit,Credit Card,Failed,44,64,3716
4,34,543,187,638,10230,Credit,UPI,Failed,42,122,10066
5,223,699,149,287,1750,Credit,Net Banking,Success,27,62,1661
6,204,350,234,785,1632,Debit,UPI,Failed,28,70,1534
7,99,347,128,932,3092,Credit,Cash,Success,5,61,3026
8,473,481,231,636,5154,Credit,Debit Card,Failed,44,137,4973
9,352,112,205,549,6039,Debit,UPI,Failed,41,93,5905
10,121,233,288,63,7212,Debit,UPI,Success,50,87,7075
11,66,535,104,726,13178,Credit,Net Banking,Failed,10,13,13155
12,492,219,221,639,8459,Credit,UPI,Success,42,189,8228
13,496,500,47,621,5776,Debit,Cash,Failed,10,78,5688
14,458,531,43,106,5696,Credit,Cash,Success,11,149,5536
15,341,69,237,716,3743,Credit,Net Banking,Failed,25,143,3575
16,361,535,137,254,911,Debit,UPI,Success,20,0,891
17,291,103,53,297,12213,Credit,Net Banking,Success,43,161,12009
18,167,145,247,1044,6957,Credit,Net Banking,Failed,48,91,6818
19,490,70,104,364,9869,Debit,Cash,Success,2,176,9691
20,364,528,124,490,9125,Credit,Debit Card,Failed,39,11,9075
21,108,528,126,481,6485,Credit,Cash,Failed,1,57,6427
22,227,69,212,814,2832,Credit,Credit Card,Success,43,84,2705
23,384,494,296,1011,16282,Debit,Debit Card,Failed,41,137,16104
24,438,184,119,324,2608,Debit,Debit Card,Failed,13,167,2428
25,47,601,156,477,3121,Debit,Credit Card,Failed,29,174,2918
26,91,236,187,128,8644,Credit,Net Banking,Failed,9,165,8470
27,386,316,85,828,2666,Credit,UPI,Failed,32,134,2500
28,349,609,145,543,7773,Credit,Cash,Failed,7,163,7603
29,128,589,172,411,5962,Credit,Net Banking,Success,3,181,5778
30,358,53,249,586,5636,Debit,Cash,Failed,25,125,5486
31,276,69,259,690,12620,Debit,Credit Card,Success,37,1,12582
32,106,615,92,172,2414,Credit,Credit Card,Success,27,85,2302
33,456,426,232,210,9441,Credit,Credit Card,Failed,33,142,9266
34,453,194,30,922,3145,Credit,Debit Card,Failed,21,94,3030
35,51,225,146,728,13469,Debit,Debit Card,Success,33,40,13396
36,193,553,259,911,8584,Credit,Debit Card,Success,33,31,8520
37,469,119,31,165,8938,Debit,UPI,Failed,34,27,8877
38,442,616,196,278,6381,Credit,Credit Card,Success,13,129,6239
39,121,524,152,787,6337,Debit,Net Banking,Success,35,195,6107
40,298,380,15,5,7673,Credit,Debit Card,Success,45,108,7520
41,271,141,298,1018,17213,Credit,Debit Card,Success,1,74,17138
42,451,20,267,823,11467,Debit,Debit Card,Success,26,92,11349
43,2,249,158,906,11815,Debit,Credit Card,Success,4,71,11740
44,276,553,258,988,633,Credit,Cash,Failed,17,51,565
45,397,4,151,505,6290,Credit,Cash,Failed,50,17,6223
46,259,311,117,961,3403,Credit,Debit Card,Failed,39,154,3210
47,450,586,240,543,1420,Debit,Cash,Success,11,30,1379
48,238,616,191,517,6286,Credit,Credit Card,Success,34,101,6151
49,143,466,88,636,1457,Debit,Debit Card,Success,38,28,1391
50,199,24,85,532,143,Debit,Cash,Failed,39,200,-96
51,28,234,174,209,7034,Debit,Credit Card,Failed,8,188,6838
52,221,90,230,239,8748,Debit,Debit Card,Success,41,95,8612
53,167,696,156,412,2553,Credit,Net Banking,Failed,20,9,2524
54,142,679,76,261,3699,Credit,Debit Card,Failed,36,161,3502
55,378,366,95,632,8939,Credit,UPI,Failed,34,148,8757
56,183,249,219,503,8468,Debit,Net Banking,Failed,42,191,8235
57,281,549,117,596,2341,Debit,UPI,Success,39,3,2299
58,196,499,112,306,6783,Credit,Credit Card,Success,45,7,6731
